Function Name,Description,Potential R Functions with Same Functionality,Potential CRAN Packages with Same Functionality,Port?,Additional Remarks
spm_mnc2nifti.m,,,,,
spm_mrdivide.m,,,,,
spm_multrnd.m,,,,,
spm_mvNpdf.m,,,,No,
spm_mvb.m,,,,,
spm_mvb_G.m,,,,,
spm_mvb_R2.m,,,,,
spm_mvb_U.m,,,,,
spm_mvb_bmc.m,,,,,
spm_mvb_cvk.m,,,,,
spm_mvb_cvk2.m,,,,,
spm_mvb_cvk_display.m,,,,,
spm_mvb_display.m,,,,,
spm_mvb_estimate.m,,,,,
spm_mvb_p.m,,,,,
spm_mvb_ui.m,,,,,
spm_nCr.m,,,,,
spm_ncTcdf.m,,,,No,
spm_ndgrid.m,,,,,
spm_nlsi.m,,,,,
spm_nlsi_GN.m,,,,,
spm_nlsi_LS.m,,,,,
spm_nlsi_N.m,,,,,
spm_non_sphericity.m,,,,,
spm_normalise.m,,,,,
spm_normalise_disp.m,,,,,
spm_normrnd.m,,,,,
spm_orientations.m,,,,,
spm_orth.m,,,,,
spm_orthpoly.m,,,,,
spm_orthviews.m,,,,,
spm_peb_ppi.m,,,,,
spm_percentile.m,,,,,
spm_perm_mtx.m,,,,,
spm_pf.m,,,,,
spm_phase_shuffle.m,,,,,
spm_phi.m,,,,,
spm_phi_dot.m,,,,,
spm_pinv.m,,,,,
spm_platform.m,,,,,
spm_plot_ci.m,,,,,
spm_plot_convergence.m,,,,,
spm_powell.m,,,,,
spm_prep2sn.m,,,,,
spm_preproc.m,,,,,
spm_preproc_write.m,,,,,
spm_print.m,,,,,
spm_progress_bar.m,,,,,
spm_project.m,,,,,
spm_read_hdr.m,,,,,
spm_read_netcdf.m,,,,,
spm_read_vols.m,,,,,
spm_realign.m,,,,,
spm_regions.m,,,,,
spm_reml.m,,,,,
spm_reml_A.m,,,,,
spm_reml_ancova.m,,,,,
spm_reml_sc.m,,,,,
spm_render.m,,,,,
spm_render_vol.m,,,,,
spm_resels.m,,,,,
spm_resels_vol.m,,,,,
spm_reslice.m,,,,,
spm_resss.m,,,,,
spm_results_ui.m,,,,,
spm_rmpath.m,,,,,
spm_robust_average.m,,,,,
spm_robust_glm.m,,,,,
spm_sample_priors.m,,,,,
spm_sample_vol.m,,,,,
spm_sde_dx.m,,,,,
spm_searchlight.m,,,,,
spm_sections.m,,,,,
spm_select.m,,,,,
spm_slice_timing.m,,,,,
spm_slice_vol.m,,,,,
spm_smooth.m,,,,,
spm_smoothkern.m,,,,,
spm_smoothto8bit.m,,,,,
spm_softmax.m,,,,,
spm_soreduce.m,,,,,
spm_sp.m,,,,,
spm_sp_reml.m,,,,,
spm_speye.m,,,,,
spm_spm.m,,,,,
spm_spm_Bayes.m,,,,,
spm_spm_ui.m,,,,,
spm_spm_vb.m,,,,,
spm_sptop.m,,,,,
spm_sqrtm.m,,,,,
spm_squeeze.m,,,,,
spm_standalone.m,,,,,
spm_str_manip.m,,,,,
spm_summarise.m,,,,,
spm_surf.m,,,,,
spm_svd.m,,,,,
spm_swarp.m,,,,,
spm_t2z.m,,,,,
spm_transverse.m,,,,,
spm_type.m,,,,,
spm_u.m,,,,,
spm_uc.m,,,,,
spm_uc_Bonf.m,,,,,
spm_uc_FDR.m,,,,,
spm_uc_RF.m,,,,,
spm_uc_clusterFDR.m,,,,,
spm_uc_peakFDR.m,,,,,
spm_uitab.m,,,,,
spm_uitable.m,,,,,
spm_uncat.m,,,,,
spm_unlink.m,,,,,
spm_unvec.m,,,,,
spm_update.m,,,,,
spm_uw_apply.m,,,,,
spm_uw_estimate.m,,,,,
spm_uw_show.m,,,,,
spm_vb_F.m,,,,,
spm_vb_Fn.m,,,,,
spm_vb_a.m,,,,,
spm_vb_adjacency.m,,,,,
spm_vb_alpha.m,,,,,
spm_vb_beta.m,,,,,
spm_vb_contrasts.m,,,,,
spm_vb_edgeweights.m,,,,,
spm_vb_gamma.m,,,,,
spm_vb_get_Ab.m,,,,,
spm_vb_get_Gn.m,,,,,
spm_vb_get_R.m,,,,,
spm_vb_glmar.m,,,,,
spm_vb_graphcut.m,,,,,
spm_vb_incidence.m,,,,,
spm_vb_init_block.m,,,,,
spm_vb_init_volume.m,,,,,
spm_vb_lambda.m,,,,,
spm_vb_models.m,,,,,
spm_vb_neighbors.m,,,,,
spm_vb_ppm_anova.m,,,,,
spm_vb_robust.m,,,,,
spm_vb_roi_anova.m,,,,,
spm_vb_roi_basis.m,,,,,
spm_vb_set_priors.m,,,,,
spm_vb_spatial_precision.m,,,,,
spm_vb_taylor_R.m,,,,,
spm_vb_w.m,,,,,
spm_vb_x2.m,,,,,
spm_vec.m,,,,,
spm_vol.m,,,,,
spm_vol_nifti.m,,,,,
spm_voronoi.m,,,,,
spm_wft.m,,,,,
spm_write_filtered.m,,,,,
spm_write_plane.m,,,,,
spm_write_sn.m,,,,,
spm_write_vol.m,,,,,
